NEW_ID,SPECIES,LOG_DP
1,均质油藏,".402101352274762,.383568881471384,.38214380238095,.380441712426485,.378677529744126,.377026304713473,.375120971600595,.373395930649774,.371338787632628,.36927067228081,.367167184660432,.364969371207603,.362671476948887,.360336250184539,.357814662875984,.355164865240942,.352405602180099,.34952985097101,.346435956423466,.343229588813687,.339937227477652,.338111570967873,.336334342178163,.334396083695125,.33250243584182,.330546547511789,.328415509819389,.326321362825379,.324043864409024,.321794545929701,.319461449285582,.115220423472874,.100811800939792,.0860146390237564,.0708039222756477,.0551608360143512,.0389302434105894,.0222885894269746,.00520009040588027,-.0124239395156484,-.0306079767236397,-.049383515639457,-.068778567074596,-.0888254025920003,-.10955497100999,-.130999288315588,-.153190707034536,-.176159646395597,-.199937361770984,-.224551250183361,-.250028249394865,-.276391493543009,-.30366016395831,-.331852285899365,-.360976270489118,-.391044656266937,-.422053110459245,-.454008697378211,-.486893825648658,-.520710308064443,-.555428357526034,-.591044767722341,-.627520006179061,-.664845942238532,-.70297671653958,.400720918354432,.399362552022952,.397858141858451,.396381870356906,.394846133769666,.39312850565301,.391449791770835,.316930107920282,.314508190517046,.31183584410669,.308991984209129,.306199563947394,.303230365514995,.300007475567619,.296814896621502,.293398157389725,.289754768331517,.285980941494755,.282073210484766,.277866711757665,.273356509173205,.268620315314493,.263659988982347,.258207926010131,.252426122170782,.246284077413787,.239525061039554,.232281099347427,.224178888890729,.215389643001921,.205474617020891,.19441061726147,.182014544665461,.169311963287799,.156286321603815,.142939445307861,.129255810961932,-.741899173686303,-.781564992916767,-.821955726506078,-.863024408518395,-.904746945825488,-.947081111615913,-.989996825674952,-1.03345932074438,-1.07743228092011,-1.12189036630183,-1.16679092066095,-1.21211926729997,-1.25782646684828,-1.30390909826903,-1.35029451508488,-1.39799521406238,-1.45217757650103,-1.51523196853861,-1.58994033019483,-1.68148947274064,-1.79910816796066,-1.96089100299364,-2.36806212593929,.38955768872946,.387710869377003,.3863259668441,.385054571869346,.421523391669282,.420603779224327,.419645498596211,.418660080395415,.417626172388447,.416573595140224,.415465137225695,.414327119869382,.413111427025747,.41186699123412,.410563640574491,.409160818989213,.408110046268585,.406973611109292,.40579489870088,.404629673223031,.40335692179746"
2,均质油藏,".575997838650946,-.385848593958238,-.433797748530034,-.481981076305753,-.5303302009961,-.578877696126497,-.627549263129666,-.6763902271512,-.725321302244599,-.774398372594203,-.823537998739606,-.87280475150226,-.922111762763646,-.971530710485828,-1.02097191612291,-1.07051284600189,-1.12006153088586,-1.1697001336459,-1.21933482644421,-1.26905157095633,-1.31873381125062,-1.3695337004977,-1.4268167085565,-1.49314268903476,.443870575053036,.443600348630168,.4432748007664,.442933785194853,.442653498226912,.442305289634326,.442028856729436,.441678331177467,.441416253890443,.441070354319382,.440833557096744,.440618412910049,.440271672905646,.440089320649342,.439761560661518,.439637748865884,.439438837980029,.439468674855426,.439292831232957,.439277823633395,.439019374066212,.438775734853332,.438798142602458,.438595939076905,.438792131111371,.43864156996408,.438665116599246,.438813579620929,.439023107609704,.439297927960765,.447993601439001,.447661917167769,.447317042143121,.446971721963366,.446607492755825,.446236149519244,.445832195247752,.445448790381951,.445038951475781,.444658723700847,.444288736964528,.551668241020209,.524644254237796,.495383726254334,.46417536217058,.431088045791127,.396411092552201,.360176600737544,.322648966522305,.283841032389372,.243979675621337,.203071513793841,.161302161181654,.439719414716488,.440143361663102,-1.57114729483091,-1.66607667549768,-1.78717418626285,-1.9524511146361,-2.37010024365143,.440686061315917,.441401487420852,.44232163962724,.443342771850065,.444713518726806,.446606970805959,.447418569723964,.448543589197276,.449536257354903,.450882687920684,.452351868468985,.453669933074107,.455396437924869,.456994114254492,.459032348378402,.461285758182784,.463453170731346,.466286379814112,.468998031959146,.47180149562069,.475334786008863,.479091094250057,.482890428388948,.487455828760331,.492255660021639,.497355312977857,.503053757944318,.509371184708135,.516041574375899,.523303613115195,.53127983535845,.53996510409739,.549223095550385,.559076881667068,.118680426902105,.0753518120927216,.0313320840121636,-.0132700521315391,-.0584296133793012,-.104070684534512,-.150158383645937,-.196645545437424,-.243487625187633,-.2906623759406,-.338116322031213,.569692345426156,.580974219823492,.592593806862316,.605115010598422,.617539232432928,.630033310830282,.641812313820868,.652091242637863,.65933241712874,.66350558614684,.66416002778652,.661468591018337,.65520370343438,.645643838552176,.632705371865661,.616685350979599,.5976446695076"
3,均质油藏,".389763674270443,.41316736764485,.412144844905495,.411207842647193,.410107170464062,.409109464108586,.408322871028687,.407680962891398,.384372275278599,.3846225049398,.384732968631286,.384772438186712,.385405773148492,.386163411922601,.386727385356413,.388079868550425,.389440488846721,.390928335982286,.393061487721266,.395929223492802,.399134084446201,.40265551190275,.407199527570299,.413008000208005,.419198727921639,.426911862760107,.436557529262056,.447372550527966,.460509301919223,.475334748173491,.493245858630811,.513187694645928,.536522570205973,.561757390208549,.586267979114904,.609016163318141,.629449634230028,.646968483151226,.661059974681093,.671555682071863,.678047172091634,.68069059624649,-.377555479646251,-.425704178823967,-.474025823055828,-.522550142815829,-.571203867971437,-.620029569778599,-.668949453506914,-.718016658667424,-.767149626322932,-.816410140588968,-.865713539470978,-.915128642432401,-.964568247813522,-1.01410687715511,-1.06363422341475,-1.11428894884769,-1.17143731896208,-1.23761398350817,-1.31548053508936,-1.41027462133029,-1.53123459077089,-1.69637730259306,-2.11364654471921,.388744253654119,.387916383197788,.387354301964665,.386953001766595,.38641727585615,.386075585096968,.385778922702834,.385308144482314,.385093574286458,.384697167439629,.384594936903883,.384576011178726,.679213367819513,.675019090067433,.666416683841311,.653439820537794,.637089470731726,.617546463555537,.595061039088851,.569915396443752,.542273964936169,.512460684660083,.480571483139161,.446926446213104,.411576217502044,.374809580597366,.336652491335778,.297350208764814,.256918983703558,.215558077684828,.173283551662179,.13025111910354,.0864820145917218,.0420927300018152,-.00288772225480683,-.0483773566459652,-.0943384675717216,-.140719039094646,-.18747273072337,-.234573301147073,-.281966359191973,-.329647620406085,.430226677727941,.429594154583617,.428935889010863,.428264430971065,.427559444820396,.426840399019747,.426076421541743,.425309634045447,.424492607543354,.42367742152833,.422839950414081,.421930955297488,.421269991784986,.420541392214406,.419784760668503,.419062018931243,.4182560325999,.417490929520409,.416631375258962,.415821572814996,.414903830436142,.414046260178399,.406853996950557,.406111660193868,.405137995875236,.404141149970514,.40330085439002,.402255006669836,.401449337616786,.400350518712211,.399312685819953,.398310143579967,.397287387761874,.396243062834319,.395231846792867,.394134254493557,.393025566929357,.391936351068897,.390877181405941"
4,均质油藏,".415695289067681,-.176780446443327,-.223659296333151,-.27087062526039,-.318359717057483,-.366126125627613,-.414107669031837,-.462321872768161,-.510700068863902,-.559274841419438,-.607971991554022,-.656836615740707,-.70578986539136,-.754887157741646,-.804045778470496,-.853329605078573,-.90265273729708,-.952085952004622,-1.00154074139035,-1.05109348494371,-1.10065355246977,-1.15030185723903,-1.19992489581385,-1.25066882412489,-1.30790101610979,-1.37416869593644,.514051439753619,.526603392073769,.540479338491932,.555732815920913,.57234257086356,.58984531317873,.608385310341975,.626712229826492,.642636791567384,.655748292925921,.665517284387517,.671885818922639,.674488091979184,.673506094681283,.668714742634104,.660417664096899,.648542767659787,.633986534979894,.615971138258804,.594498147096626,.570301457012549,.543651819928874,.514685346876519,.483708840932404,.450798739012747,.416256838001943,.380121047106874,.342663338982385,.303901561584195,.26406663749951,.223169712087715,.181398217788283,.138765038791658,.0954162147963364,-1.45212067196646,-1.54699879005082,-1.66804357453438,-1.83326873157182,-2.25077334916769,.415585105258212,.415501752315396,.415647697446936,.416178192310103,.416287131254433,.416653275296907,.416872379512049,.41739435893684,.418012154064807,.418444086819067,.419253553810066,.419881719484507,.420932452103587,.422152779429322,.423209837904822,.424912642590164,.426474458130914,.428037840310172,.430380706120535,.432930100137855,.435380465151087,.43875790898598,.442278551085729,.446045130908756,.45055623647646,.435213983452018,.434595635607965,.433990644264124,.433377871170951,.432706113863281,.432231836668088,.431697641686042,.431141899142736,.430630206266747,.430044713191185,.429511285035678,.428895739735326,.428344043517034,.427698832243151,.42713234823353,.426564199409852,.425862329609311,.425277939879172,.424542274083454,.423951793703326,.423441649671255,.423110722898346,.422589272597626,.422183511233373,.421548572194198,.420907838258561,.420470283245667,.455865102002836,.461568983224513,.467806455129858,.475064594727009,.483453266561599,.492382017829162,.502471315609804,.051371068579176,.00673816122095059,-.0384545468796743,-.0841316115305427,-.13025577286327,.438970954793893,.438485596009112,.437980725839282,.437468456667879,.43693007592253,.43638105028467,.435794012081771,.419822064881697,.419484790756039,.418832285875122,.418295244778467,.417834199034713,.417392280529356,.41697131593607,.416632673945637,.416252535802674,.41592556316896"
5,均质油藏,"-.185449175636152,.424078341465983,.423380062776807,.422654801203637,.421963785355382,.421191765820094,.42046111059873,.419638572965265,.418866525738993,.417989417850905,.417173482128091,.416338376405765,.415362734161133,.41447434302246,.413426154885116,.412483184950187,.411735682465048,.41113359520078,.41034922101973,.409652253874323,.408727200931993,.407780989206884,.406993046318626,.406002459583001,.405253191073372,.38986705053244,.390132902184219,.39026401639628,.390343770545312,.390935417535902,.391628290316165,.392173196061381,.393371464469131,.394592190169085,.395926715640931,.397784748130434,.400233439862299,.402949719322927,.405955718238574,.409770573474995,.414567536597551,.419699608400567,.425984434973812,.433747557461703,.44243489598662,.452835163797029,.464593282549082,.478593429999864,.494118291804934,.432671085704322,.432063647734702,.431431487144269,.430786830757893,.43010992582635,.429419701550733,.428686132558584,.427950432704982,.427166321447751,.426384797993148,.425582403044772,.424710833030947,-.231876611451177,-.278668087984135,-.325800905111022,-.3732196479928,-.420922824037089,-.468847869558549,-.517011249322426,-.565344169741787,-.613878157270081,-.662539093128627,-.7113710288265,-.760295360378864,-.809366477380158,-.858502041262084,-.907764920738736,-.957069695643231,-1.00648615259741,-1.05592634680302,-1.10546568465248,-1.15499312483854,-1.2056483416294,-1.2627958171178,-1.32897350673439,-1.40683942409016,-1.50163237363255,-1.62259168999783,-1.78773392441036,-2.20499898073693,.512090482042573,.531354820366279,.54984705129256,.566770323753686,.581607911089812,.593889943159006,.40421519625472,.40324077509606,.402304363724885,.401351123655157,.400379919791962,.399447929992132,.398434609807335,.3974148075256,.396418863982206,.395457278381646,.394446720289621,.393534312548943,.392810816600063,.392311652789073,.391968055491895,.391498741221808,.391212550289547,.390966908753037,.390565046717084,.390395702601031,.390067137947398,.390000959010118,.390012275274577,.60313977832293,.609220730027817,.611749687974224,.610849084718034,.606264773455777,.599168218972694,.588129903224321,.573138706530092,.555056660061997,.534047475861648,.510315961119996,.484118769744574,.455591325075118,.425029862244654,.392513775667304,.358337690530836,.322543891506702,.285399976028272,.246928335342871,.207357564701484,.166702919460316,.125150878294613,.0827177762130909,.0395495641114959,-.00433167757245036,-.0488169548613512,-.093876190983888,-.139433203835009"
6,均质油藏,".01827498121159,-.211041471077999,-.231368220430363,-.252136066363301,-.273352045774259,-.295027966349287,-.31717139520437,-.33979359707368,-.362902655443155,-.386509321474311,-.410622006919012,-.435250873947663,-.460404309321047,-.486091723736525,-.512320996325102,-.53910056356402,-.566437242714585,-.594338242049477,.21564956263341,.211374733803338,.206815205959202,.202121521421296,.197297170853702,.192098977534323,.186533260565078,.180723841918387,.174686700889707,.168034386689322,.161026256867593,.153641335649993,.145521907661791,.136895800166847,.127253833842255,.11689967121022,.105252907808181,.0923834754635733,.0780665664889773,-.622808762991894,-.651854525720972,-.681478637969192,-.71168508352948,-.742474543469716,-.773849036630357,-.805806681181697,-.838347321974455,-.871466603070042,-.905162000126319,-.939426999020769,-.974256517338985,-1.00964240366275,-1.04557682888915,-1.08205068902405,-1.11905321742047,-1.15657515325329,-1.1946026010526,-1.23312699326535,-1.27211945264376,-1.31243377436071,-1.35856325358316,-1.41254706406258,-1.47710483345509,-1.55702742783274,-1.6609977360649,-1.80651318360888,-2.15990961813572,.00267005771016072,-.0132239653018458,-.0294143280533938,-.0459209727140911,-.0627535195149278,-.0801290215863734,-.0977587856271196,-.115655964540141,.380009315804523,.378601280195204,.377121773625413,.375612143509758,.37401388790236,.372387404538616,.370650004863199,.368888534945066,.367056214240184,.365074832096051,.363605482360828,.36200312660563,.360338307169673,.358711046389991,.356918148443019,.355172442462527,.353234953559254,.351355602869001,.349253915755968,.34722223723411,.345114068143452,.342723239678278,.340426830586031,.337802968502228,.335288679163871,.333375083889506,.331667820626859,.329621008036873,.327685631387246,.325306951266044,.322846905428238,.320598231712411,.317956217844849,.315640239540866,.312796790495624,.309964475580107,.307112960109818,.304140275583595,.301037210141393,.29791341387439,.294525349282879,.290976921695109,.287300589106633,.283488066580574,.279379788200584,.275158427495667,.270866124979545,.268463182716933,.266154439152128,.263613780638338,.261162996735703,.258636166762125,-.133934005191322,-.15259954633555,-.171667153421231,-.191143331209233,.255859202478607,.253163415987329,.250208883392774,.247324788739638,.244342091258935,.241084748763333,.238027364317837,.234614007920339,.230977393112897,.227461581850862,.223718876553134,.219636283848471,.382698906704552,.381382122898925,.0635054967510219,.0486820411421311,.0336092100399083"
7,均质油藏,".311211434781352,.370467371877698,.368629426569366,.366717329444001,.364800212059468,.362726547960287,.360564188257611,.358335633411566,.356038072950465,.353573086307796,.3510610137462,.348535696105734,.347116965061664,.345769618295291,.344281612857798,.144702206701642,.109361080837785,.0725425820842587,.0344808709198111,-.00479837110670152,-.0450975916548406,-.0863939416190481,-.128528131865327,-.171474507420398,-.215110269034215,-.25940383345094,-.304265668023436,-.349656842779541,-.395517416579383,-.441800760004804,-.488472834856998,-.535479583990968,-.582809353750002,-.63040126775775,-.678262794199372,-.726327000311042,-.774617516222758,-.823062156942964,-.871698082332887,-.920448633329688,-.969362201066464,-1.01833797382791,-1.06848346343517,-1.12513735451094,-1.19080078263093,-1.26816692764136,-1.36246288497317,-1.48292606209388,-1.64758789938824,-2.06345367803346,.299071924006519,.296399689363606,.293845641474619,.291457237175426,.289003219383202,.286953585533655,.284869845116749,.283549751061045,.282787952888058,.283374746498047,.28563555058573,.289742198610081,.295623412425942,.303429224518484,.312809007478145,.308955464903613,.306565666563455,.304030432504714,.301509110033834,.418908008874463,.418041981013158,.417139894039967,.416215201113486,.415244587855304,.414255534722691,.413210035329416,.412146250830888,.411010938537925,.409860258452515,.323670768408651,.335377595593045,.347623569456278,.35967035177265,.371046421334847,.381905794515332,.390561309056335,.396769240175406,.400415125538315,.401038018666514,.398662817939748,.39299358701478,.384194713519802,.372155167418391,.357084995989897,.339039487819476,.318211416939221,.294778470558438,.268888053940025,.240788004569602,.210577611126942,.178528532276712,.408663909835099,.407372099032173,.406414914912731,.405372412739088,.404290475204069,.403233962834595,.402071421543653,.400940606482809,.399687421434407,.398473420367212,.397117772318332,.395809606830142,.394454751689157,.392919909119456,.391449890680014,.38977210681256,.388170146109004,.386951546270741,.385869114954771,.384570006084397,.383347298279239,.381844190181349,.380292583901567,.37888141133379,.377221321760479,.375776802206432,.373998634331328,.372235960556379,.342865669033114,.341414198383008,.339809886875188,.33827857269181,.33659033383186,.334972925869257,.333313255037237,.331490208981526,.329823484282922,.327953964138104,.325963233373677,.324101266271404,.322136650706223,.319977706166878,.317957830949917,.315789761094734,.3134964157978"
8,均质油藏,".428740365946178,.387036828107649,.386940030396553,.386922281723666,.386735283339546,.386976334501316,.38707986616761,.387122665585936,.387710849874383,.388408964806529,.388938255444383,.390177391056597,.391431191834379,.392803024770712,.394749157591191,.397346615304729,.400240372099459,.403432909922944,.407525429574512,.412722308110204,.418272823805429,.425138910222932,.433684085209029,.443263053505553,.454832172624834,.467910142798272,.483623804028025,.501107721370301,.521497292728684,.543495094760604,.564787027680259,.584460457434536,.60198096296896,-.473469296090629,-.521789109888414,-.570311479527232,-.618962797063189,-.667786155844401,-.716703431121298,-.765768205303928,-.81489859349285,-.864156770690147,-.913457750236938,-.962870709716597,-1.0123081222248,-1.06184484793545,-1.11137025450607,-1.16202338789924,-1.21916953934552,-1.28534486057085,-1.3632093008748,-1.45800103775553,-1.57895890072673,-1.74409965023561,-2.16136178914932,.496103760377859,.465987492128216,.433850928614935,.400001070543437,.364484796647267,.327580488574039,.28931255991789,.249918415812209,.209413896811316,.167992463650769,.428033622243736,.427282642895513,.426529093546968,.425726047993165,.424925112068324,.424102434956614,.423209207187181,.422560240430981,.421844398896154,.421100959717782,.42039157703576,.419599862290155,.418849272842362,.418005261858386,.417211382981909,.41631069831026,.415470696854034,.414610290364416,.413607449044845,.412690980322392,.411612378191539,.410637829141762,.409867704045291,.409242724434377,.408433730885435,.407710872663619,.406757759461748,.405782320878381,.404964365277524,.403941874991005,.403160155906341,.402087088884804,.125670294690287,.082598827965697,.038799636716061,-.00561396147248769,-.0506125395484407,-.0961164891552358,-.142087678736705,-.188475884596358,-.235234354894403,-.282338207485645,-.329732662091662,-.377414473484847,-.425321668923737,.401076030712649,.400101414915485,.399107962072446,.398094401550864,.397116971847417,.396055199193539,.394984124934805,.393934135316176,.392915640398405,.391844654739917,.390868714164041,.390081039392721,.389544808921147,.38916572496854,.388656890456842,.388335070064123,.38805513110193,.387610993183043,.387408572357716,.616809576044351,.62844868102465,.636737866308498,.641277220418692,.642198542417511,.639234022599799,.633667673013084,.623932842724687,.610038173367418,.592912504607668,.572724648236649,.549701953238904,.524111541392574,.431362375564117,.43074056019652,.430093431649999,.42943339232873"
9,均质油藏,".396210409810413,.259574657495086,.254898393284483,.249814923037721,.244546018513549,.238733726392167,.232707268995599,.226147296222247,.219267168590845,.212114435553633,.20542820449548,.199320995342401,.193931216180001,.189376878389118,.185792738195572,.183227359773965,.181796777601159,.181417705142852,.182120497927921,.183524110646885,.185693855135781,.188499171476577,.191330627495466,.193838767545204,.195607411357425,.196202949085764,.195323416555223,.192540442002509,.187709949088698,.180487598110147,.170869073576408,.158642508072547,.143891328240389,.126548822974099,.106731711741079,.0845009550954481,.0599682353786444,.0332866258861052,.00454457472037464,-.026053033626479,-.0584437409600763,-.0924058656351122,-.127897340135089,-.164704679641381,-.202797996914498,-.241986814988491,-.282245902955485,-1.01005368920932,-1.05945702475961,-1.11538461372649,-1.18029474920391,-1.25692035328589,-1.35047512869135,-1.47019614971478,-1.63413584111319,-2.04788674174235,-.540711129154139,-.585978591468735,-.631722051049191,-.677897979615998,-.724455028615787,.412870444837728,.411854383390703,.414810578131976,.413860426187313,.394946221775054,.393549138586466,.39218745075462,.390671328932122,.38919857048022,.387670246375256,.385947104616174,.384283196370377,.382393001739366,.380571888595504,.379194166984128,.3779537893614,.376480819840961,.375083327301931,.373384463941291,.37162759975303,.37001066576125,.368123209273796,.366453226067274,.364423963305996,.362399811572317,.360357003769393,.358228607848288,.356008910742854,.353770321295684,.351349719339031,.348816191525312,.3461922005802,.343472645616761,.340549782993863,.337546774517867,.334495505330169,.332792300220668,.331154725775305,.329357236450095,.327623289907851,.325838136682846,.323880181609886,.321981216794783,.31990369434002,.317878793617922,.315788404999162,.313509210353853,.311372130146787,.308994542582623,.306465358122391,-.77137239321274,-.818591917168317,-.866112560253109,-.913869983475825,-.961880116670407,.30402887085099,.301443867851337,.298628050397683,.295893551592217,.292967531728135,.289856820106355,.286673564642522,.28342330882348,.279938606080447,.27622158650185,.272374122786866,.268419366816067,.264081286286485,-.323414723982811,-.365467129324467,-.408274392879379,-.451805903313006,-.495963812640861,.4107878734769,.409701252708014,.408553950665049,.407382695957065,.406132097482381,.404859848100118,.403533396146522,.40210253644366,.401037877173378,.399881163468513,.398680773488091,.397503009463687"
10,均质油藏,".419251661122541,.305217847663437,.304668435294942,.304589480022254,.305658623995879,.307929943296889,.311405243823062,.315850612192095,.321255743649101,.327225994288973,.333571464619641,.339792946351261,.345568765192556,.353971436739395,.356636087808152,.356883167184545,.354518763307145,.349721249754308,.342193880181196,.332011953428198,.319023215237713,.303363307111259,.285024676605757,.264150394167113,.240851541943358,.215247934832561,.187529632412507,.157783147745156,.126237018965667,.0929477462744576,.0581495966272619,.0218781714250262,-.015648381141747,-.0544055663101283,-.0942032592799082,-.135020108863781,-.176698770636371,-.219215558666238,-.262446360232263,-.306361885356054,-.350869474017788,-.395932603813597,-.441487296285975,-.487489264714156,-.533900093615049,-.580667877682539,-.627776612620336,-.675167306226717,-.722843337585247,-.770739352220742,-.818875295085227,-.867180243392736,-.915688150294422,-.964323311795822,-1.01313141604663,-1.0620327139531,-1.11108264498984,-1.16017754206359,-1.21043304027457,-1.26719165244559,-1.33296553658969,-1.41043691535921,-1.50483646059227,-1.62540283862317,-1.79016402708144,.418277699175125,.417286772608736,.41622931504819,.415157661608757,.414043594858665,.412840781789324,.411949769644297,.410979377294926,.409972411123578,.408989425582548,.407907799799278,.406856032351082,-2.20631445654171,.391656358980142,.390524106159525,.389130929621643,.387693228588947,.38638795864862,.384850708222674,.383516809059557,.381871572352446,.380242965129157,.378610341613587,.376914780361911,.375152021311041,.373386309532504,.371476951627471,.369487870331432,.3674406327513,.365333300713263,.36307422222852,.360777647210693,.358478294284675,.357182850841212,.355958587059811,.354602878369305,.35332024539746,.352007879513838,.350551936101937,.349172162068845,.347645168231365,.346193811652529,.344708704213613,.343070988571221,.341592493540003,.339927131120439,.338151959727091,.336515997983327,.33479389773444,.332893124183886,.331147242369312,.329272750702746,.3272934991022,.325347775840579,.323456738463761,.321461056086414,.319355153701407,.31730416320253,.315375372108416,.313262357580884,.311306358824953,.309572548909639,.307828104383822,.306498567399889,.350430328257259,.40569050252208,.404561875252743,.403301579266862,.402086094900161,.400827693402151,.399401817201219,.398037399383678,.396479715934335,.394994121356412,.393863511736779,.392860981746263,.423587783238531,.422780447090384,.421939589789328,.421077738619473,.420173205048553"
